episode,article,airDateAnomaliesOne%,totalAnomaliesOne%,airDateAnomaliesTwo%,totalAnomaliesTwo%,access,location,1%Proportion,2%Proportion,message,airDateAnomaliesOne%,airDateAnomaliesTwo%,access
1,Bamboo_lemur,2,3,2,7,mobile,UK,66.67,28.57,Climate_change,0,2,mobile
1,Buller's_albatross,2,3,2,7,mobile,UK,66.67,28.57,Deforestation,0,0,mobile
1,Chinstrap_penguin,2,3,2,7,mobile,UK,66.67,28.57,Desertification,0,0,mobile
1,Fairy_tern,2,3,2,7,mobile,UK,66.67,28.57,Ecological_light_pollution,1,1,mobile
1,Indri,0,3,0,7,mobile,UK,0,0,Habitat_destruction,0,0,mobile
1,Komodo_dragon,1,3,2,7,mobile,UK,33.33,28.57,Invasive_species,0,0,mobile
1,Marine_iguana,0,3,0,7,mobile,UK,0,0,Threatened_species,0,0,mobile
1,Noddy_(tern),0,3,1,7,mobile,UK,0,14.29,Urban_wildlife,1,1,mobile
1,Pygmy_three-toed_sloth,2,3,2,7,mobile,UK,66.67,28.57,Climate_change,0,0,desktop
1,Racer_snake,2,3,2,6,mobile,UK,66.67,33.33,Deforestation,0,0,desktop
1,Ring-tailed_lemur,0,3,0,7,mobile,UK,0,0,Desertification,0,0,desktop
1,Seychelles_fody,2,3,2,7,mobile,UK,66.67,28.57,Ecological_light_pollution,0,0,desktop
1,Shearwater,1,3,2,7,mobile,UK,33.33,28.57,Habitat_destruction,0,0,desktop
1,Sifaka,0,3,0,7,mobile,UK,0,0,Invasive_species,0,0,desktop
1,Skua,0,3,0,7,mobile,UK,0,0,Threatened_species,0,0,desktop
1,Snares_penguin,1,3,2,7,mobile,UK,33.33,28.57,Urban_wildlife,1,1,desktop
1,Yellow_crazy_ant,2,3,2,7,mobile,UK,66.67,28.57,Climate_change,0,0,combined
2,Bobcat,2,3,2,7,mobile,UK,66.67,28.57,Deforestation,0,0,combined
2,Crow,0,1,0,1,mobile,UK,0,0,Desertification,0,0,combined
2,Flamingo,1,3,2,7,mobile,UK,33.33,28.57,Ecological_light_pollution,0,0,combined
2,Golden_eagle,2,3,2,7,mobile,UK,66.67,28.57,Habitat_destruction,0,0,combined
2,Goldeneye_(duck),1,3,2,7,mobile,UK,33.33,28.57,Invasive_species,0,0,combined
2,Grizzly_bear,0,3,1,7,mobile,UK,0,14.29,Threatened_species,0,0,combined
2,Marmot,0,3,0,7,mobile,UK,0,0,Urban_wildlife,1,2,combined
2,Mountain_viscacha,0,2,0,5,mobile,UK,0,0,,,,
2,Mouse,0,1,0,1,mobile,UK,0,0,,,,
2,Nubian_ibex,2,3,2,7,mobile,UK,66.67,28.57,,,,
2,Peregrine_falcon,0,3,0,7,mobile,UK,0,0,,,,
2,Red_fox,0,3,0,5,mobile,UK,0,0,,,,
2,Snow_leopard,1,3,2,7,mobile,UK,33.33,28.57,,,,
2,Squirrel,0,3,0,5,mobile,UK,0,0,,,,
3,Caiman,0,3,1,7,mobile,UK,0,14.29,,,,
3,Capybara,0,3,0,7,mobile,UK,0,0,,,,
3,Click_beetle,0,3,0,7,mobile,UK,0,0,,,,
3,Draco_lizard,0,3,0,3,mobile,UK,0,0,,,,
3,Giant_otter,2,3,2,7,mobile,UK,66.67,28.57,,,,
3,Glass_frog,0,3,2,7,mobile,UK,0,28.57,,,,
3,Indri,2,NA,2,NA,mobile,UK,#VALUE!,#VALUE!,,,,
3,Jaguar,0,3,1,7,mobile,UK,0,14.29,,,,
3,Millipede,0,3,1,7,mobile,UK,0,14.29,,,,
3,Railroad_worm,2,3,2,7,mobile,UK,66.67,28.57,,,,
3,Red_bird-of-paradise,1,3,2,7,mobile,UK,33.33,28.57,,,,
3,River_dolphin,2,3,2,7,mobile,UK,66.67,28.57,,,,
3,Spider_monkey,1,3,2,7,mobile,UK,33.33,28.57,,,,
3,Sword-billed_hummingbird,2,3,2,7,mobile,UK,66.67,28.57,,,,
3,Wilson's_bird-of-paradise,2,3,2,7,mobile,UK,66.67,28.57,,,,
4,Butcherbird,2,3,2,7,mobile,UK,66.67,28.57,,,,
4,Deathstalker_scorpion,0,3,0,7,mobile,UK,0,0,,,,
4,Desert_long-eared_bat,2,3,2,7,mobile,UK,66.67,28.57,,,,
4,Elephant,0,2,0,2,mobile,UK,0,0,,,,
4,Giraffe,0,3,0,7,mobile,UK,0,0,,,,
4,Golden_mole,2,3,2,7,mobile,UK,66.67,28.57,,,,
4,Ground_squirrel,0,3,0,6,mobile,UK,0,0,,,,
4,Harris's_hawk,2,3,2,4,mobile,UK,66.67,50,,,,
4,Lion,0,2,0,2,mobile,UK,0,0,,,,
4,Locust,2,3,2,7,mobile,UK,66.67,28.57,,,,
4,Mustang,1,3,2,7,mobile,UK,33.33,28.57,,,,
4,Namaqua_chameleon,2,3,2,7,mobile,UK,66.67,28.57,,,,
4,Oryx,1,3,1,7,mobile,UK,33.33,14.29,,,,
4,Sandgrouse,2,3,2,7,mobile,UK,66.67,28.57,,,,
4,Termite,0,3,0,3,mobile,UK,0,0,,,,
5,African_elephant,0,3,0,7,mobile,UK,0,0,,,,
5,Arctic_wolf,1,3,1,6,mobile,UK,33.33,16.67,,,,
5,Asian_water_buffalo,0,3,0,6,mobile,UK,0,0,,,,
5,Barn_owl,0,3,0,7,mobile,UK,0,0,,,,
5,Bison,0,3,1,7,mobile,UK,0,14.29,,,,
5,Buffalo,0,3,0,3,mobile,UK,0,0,,,,
5,Caribou,1,3,1,7,mobile,UK,33.33,14.29,,,,
5,Carmine_bee-eater,2,3,2,6,mobile,UK,66.67,33.33,,,,
5,Fox,1,3,1,7,mobile,UK,33.33,14.29,,,,
5,Giant_anteater,1,3,2,7,mobile,UK,33.33,28.57,,,,
5,Giant_otter,0,NA,0,NA,mobile,UK,#VALUE!,#VALUE!,,,,
5,Harvest_mouse,1,3,2,7,mobile,UK,33.33,28.57,,,,
5,Jackson's_widowbird,2,3,2,7,mobile,UK,66.67,28.57,,,,
5,Kori_bustard,2,3,2,7,mobile,UK,66.67,28.57,,,,
5,Lion,0,NA,0,NA,mobile,UK,#VALUE!,#VALUE!,,,,
5,Ostrich,0,3,1,7,mobile,UK,0,14.29,,,,
5,Rhino,0,1,0,7,mobile,UK,0,0,,,,
5,Saiga_antelope,2,3,2,7,mobile,UK,66.67,28.57,,,,
5,Serval,0,3,1,7,mobile,UK,0,14.29,,,,
5,Sloth_bear,1,3,2,7,mobile,UK,33.33,28.57,,,,
5,Southern_African_vlei_rat,1,3,2,7,mobile,UK,33.33,28.57,,,,
5,Termite,0,NA,0,NA,mobile,UK,#VALUE!,#VALUE!,,,,
5,Tiger,0,3,0,4,mobile,UK,0,0,,,,
5,Wildebeest,1,3,1,4,mobile,UK,33.33,25,,,,
6,Great_bowerbird,2,3,2,7,mobile,UK,66.67,28.57,,,,
6,Hawksbill_sea_turtle,2,2,2,2,mobile,UK,100,100,,,,
6,Langur,0,3,0,7,mobile,UK,0,0,,,,
6,Leopard,1,3,1,7,mobile,UK,33.33,14.29,,,,
6,Peregrine_falcon,0,NA,1,NA,mobile,UK,#VALUE!,#VALUE!,,,,
6,Pig,0,0,0,0,mobile,UK,#DIV/0!,#DIV/0!,,,,
6,Pigeon,0,3,0,3,mobile,UK,0,0,,,,
6,Raccoon,1,3,1,3,mobile,UK,33.33,33.33,,,,
6,Rhesus_macaque,0,3,1,7,mobile,UK,0,14.29,,,,
6,Smooth-coated_otter,0,3,0,5,mobile,UK,0,0,,,,
6,Spotted_hyena,1,3,2,7,mobile,UK,33.33,28.57,,,,
6,Starling,1,3,1,4,mobile,UK,33.33,25,,,,
6,Wels_catfish,2,3,2,7,mobile,UK,66.67,28.57,,,,
1,Bamboo_lemur,1,3,1,6,desktop,UK,33.33,16.67,,,,
1,Buller's_albatross,2,3,2,7,desktop,UK,66.67,28.57,,,,
1,Chinstrap_penguin,2,3,2,7,desktop,UK,66.67,28.57,,,,
1,Fairy_tern,1,3,2,7,desktop,UK,33.33,28.57,,,,
1,Indri,0,3,0,7,desktop,UK,0,0,,,,
1,Komodo_dragon,1,3,2,7,desktop,UK,33.33,28.57,,,,
1,Marine_iguana,0,3,1,7,desktop,UK,0,14.29,,,,
1,Noddy_(tern),0,3,0,6,desktop,UK,0,0,,,,
1,Pygmy_three-toed_sloth,1,3,2,7,desktop,UK,33.33,28.57,,,,
1,Racer_snake,1,3,2,6,desktop,UK,33.33,33.33,,,,
1,Ring-tailed_lemur,0,3,0,7,desktop,UK,0,0,,,,
1,Seychelles_fody,0,3,1,4,desktop,UK,0,25,,,,
1,Shearwater,0,3,0,7,desktop,UK,0,0,,,,
1,Sifaka,0,3,0,7,desktop,UK,0,0,,,,
1,Skua,0,3,0,7,desktop,UK,0,0,,,,
1,Snares_penguin,1,3,1,7,desktop,UK,33.33,14.29,,,,
1,Yellow_crazy_ant,1,3,2,7,desktop,UK,33.33,28.57,,,,
2,Bobcat,0,3,1,7,desktop,UK,0,14.29,,,,
2,Crow,0,2,0,2,desktop,UK,0,0,,,,
2,Flamingo,0,3,1,5,desktop,UK,0,20,,,,
2,Golden_eagle,0,3,0,3,desktop,UK,0,0,,,,
2,Goldeneye_(duck),0,0,0,7,desktop,UK,#DIV/0!,0,,,,
2,Grizzly_bear,0,3,0,3,desktop,UK,0,0,,,,
